"STATION","NAME","DATE","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN"
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-02-20","0.08",,"1.3","1.2","30","32","18",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-02-21","0.00",,"0.0","0.0","26","47","12",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-02-22","0.00",,"0.0","0.0","40","58","31",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-02-23","0.96",,"0.0","0.0","47","48","45",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-02-24","0.45",,"0.0","0.0","46","50","34",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-02-25","0.07",,"0.1","0.0","39","41","33",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-02-26","0.00",,"0.0","0.0","33","40","23",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-02-27","0.00",,"0.0","0.0","35","53","22",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-02-28","0.00",,"0.0","0.0","42","63","26",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-02-29","0.00",,"0.0","0.0","47","70","27",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-03-01","0.00",,"0.0","0.0","57","68","48",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-03-02","0.00",,"0.0","0.0","48","58","36",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-03-03","0.00",,"0.0","0.0","45","64","31",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-03-04","0.00",,"0.0","0.0","50","61","36",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-03-05","0.00",,"0.0","0.0","48","62","30",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-03-06","0.00",,"0.0","0.0","44","61","28",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-03-07","0.00",,"0.0","0.0","51","69","36",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-03-08","0.35",,"0.0","0.0","54","66","45",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-03-09","0.15",,"0.0","0.0","52","63","38",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-03-10","0.00",,"0.0","0.0","41","59","35",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-03-11","0.00",,"0.0","0.0","57","71","48",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-03-12","0.00",,"0.0","0.0","60","68","48",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-03-13","0.09",,"0.0","0.0","47","49","38",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-03-14","0.30",,"0.0","0.0","40","43","37",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-03-15","0.06",,"0.0","0.0","39","42","36",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-03-16","0.04",,"0.0","0.0","42","49","40",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-03-17","0.01",,"0.0","0.0","46","53","42",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-03-18","0.03",,"0.0","0.0","54","67","51",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-03-19","0.40",,"0.0","0.0","65","76","48",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-03-20","0.00","    0","0.0","0.0","44","48","29","    0"
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-03-21","0.05",,"0.0","0.0","36","51","26",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-03-22","0.16",,"0.0","0.0","44","50","40",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-03-23","0.00",,"0.0","0.0","47","59","37",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-03-24","0.75",,"0.0","0.0","54","58","43",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-03-25","0.00",,"0.0","0.0","56","78","43",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-03-26","0.00",,"0.0","0.0","61","74","50",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-03-27","0.00",,"0.0","0.0","58","66","50",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-03-28","0.00",,"0.0","0.0","60","65","41",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-03-29","0.00",,"0.0","0.0","53","71","39",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-03-30","0.32",,"0.0","0.0","54","66","45",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-03-31","0.04",,"0.0","0.0","54","66","42",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-04-01","0.00",,"0.0","0.0","57","73","47",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-04-02","0.00",,"0.0","0.0","62","69","31",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-04-03","0.00",,"0.0","0.0","34","48","27",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-04-04","0.00",,"0.0","0.0","37","47","29",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-04-05","0.00",,"0.0","0.0","45","63","40",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-04-06","0.00",,"0.0","0.0","61","74","56",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-04-07","0.00",,"0.0","0.0","68","83","58",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-04-08","0.00",,"0.0","0.0","69","88","50",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-04-09","0.00",,"0.0","0.0","59","65","45",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-04-10","0.00",,"0.0","0.0","49","64","33",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-04-11","0.00",,"0.0","0.0","62","83","47",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-04-12","0.00",,"0.0","0.0","55","62","33",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-04-13","0.00",,"0.0","0.0","36","48","28",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-04-14","0.00",,"0.0","0.0","44","53","35",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-04-15","0.00",,"0.0","0.0","45","63","27",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-04-16","0.42",,"0.0","0.0","55","74","36",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-04-17","0.17",,"0.0","0.0","43","50","34",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-04-18","0.00",,"0.0","0.0","46","66","31",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-04-19","0.27",,"0.0","0.0","60","73","38",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-04-20","0.00",,"0.0","0.0","62","76","45",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-04-21","0.00",,"0.0","0.0","63","78","48",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-04-22","1.59",,"0.0","0.0","60","64","52",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-04-23","0.28",,"0.0","0.0","63","81","49",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-04-24","0.30",,"0.0","0.0","60","64","53",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-04-25","0.00",,"0.0","0.0","58","72","48",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-04-26","0.00",,"0.0","0.0","60","75","42",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-04-27","0.00",,"0.0","0.0","67","79","59",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-04-28","0.00","    0","0.0","0.0","67","80","53","    0"
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-04-29","0.00",,"0.0","0.0","62","72","48",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-04-30","0.00",,"0.0","0.0","61","78","42",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-05-01","0.00",,"0.0","0.0","71","87","60",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-05-02","0.00",,"0.0","0.0","74","87","60",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-05-03","0.09",,"0.0","0.0","71","78","56",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-05-04","0.00",,"0.0","0.0","67","74","58",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-05-05","0.00",,"0.0","0.0","64","76","51",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-05-06","0.00",,"0.0","0.0","63","72","45",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-05-07","0.26",,"0.0","0.0","57","62","49",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-05-08","0.02",,"0.0","0.0","56","63","41",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-05-09","0.00",,"0.0","0.0","53","68","38",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-05-10","0.00",,"0.0","0.0","54","63","43",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-05-11","1.73",,"0.0","0.0","47","50","41",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-05-12","0.21",,"0.0","0.0","44","50","41",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-05-13","0.14",,"0.0","0.0","53","70","49",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-05-14","0.06",,"0.0","0.0","72","84","62",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-05-15","0.12",,"0.0","0.0","72","78","63",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-05-16","0.00",,"0.0","0.0","67","75","59",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-05-17","0.00",,"0.0","0.0","66","74","56",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-05-18","0.00",,"0.0","0.0","63","75","49",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-05-19","0.00",,"0.0","0.0","63","72","53",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-05-20","0.00",,"0.0","0.0","63","75","50",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-05-21","0.13",,"0.0","0.0","66","76","60",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-05-22","1.23",,"0.0","0.0","68","80","59",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-05-23","0.00",,"0.0","0.0","70","86","56",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-05-24","0.00",,"0.0","0.0","76","84","70",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-05-25","0.20",,"0.0","0.0","70","72","60",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-05-26","0.07",,"0.0","0.0","63","73","57",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-05-27","0.00",,"0.0","0.0","66","76","57",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-05-28","0.10",,"0.0","0.0","71","82","60",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-05-29","0.00",,"0.0","0.0","71","83","56",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-05-30","0.00",,"0.0","0.0","72","83","60",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-05-31","0.00",,"0.0","0.0","74","86","64",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-06-01","0.00",,"0.0","0.0","75","87","63",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-06-02","0.00",,"0.0","0.0","77","90","65",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-06-03","0.00",,"0.0","0.0","81","95","70",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-06-04","0.00",,"0.0","0.0","83","96","71",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-06-05","0.00",,"0.0","0.0","83","96","66",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-06-06","0.00",,"0.0","0.0","86","98","75",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-06-07","0.00",,"0.0","0.0","85","95","74",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-06-08","0.00",,"0.0","0.0","83","94","72",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-06-09","0.01",,"0.0","0.0","81","90","57",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-06-10","0.00",,"0.0","0.0","67","82","58",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-06-11","0.00",,"0.0","0.0","73","93","54",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-06-12","0.00",,"0.0","0.0","80","98","62",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-06-13","0.00","    0","0.0","0.0","82","97","65","    0"
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-06-14","0.00",,"0.0","0.0","83","97","66",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-06-15","0.00",,"0.0","0.0","82","94","65",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-06-16","0.00","    0","0.0","0.0","83","94","69","    0"
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-06-17","0.00",,"0.0","0.0","83","96","71",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-06-18","0.00",,"0.0","0.0","84","97","73",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-06-19","1.43",,"0.0","0.0","73","81","66",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-06-20","0.00",,"0.0","0.0","74","86","65",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-06-21","0.24",,"0.0","0.0","79","91","65",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-06-22","0.00",,"0.0","0.0","76","91","65",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-06-23","0.03",,"0.0","0.0","77","86","66",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-06-24","0.00",,"0.0","0.0","77","91","62",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-06-25","0.00",,"0.0","0.0","81","94","68",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-06-26","0.00",,"0.0","0.0","83","95","71",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-06-27","0.00",,"0.0","0.0","85","96","75",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-06-28","0.00",,"0.0","0.0","85","94","76",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-06-29","0.00",,"0.0","0.0","84","97","76",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-06-30","0.00",,"0.0","0.0","87","100","77",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-07-01","0.00",,"0.0","0.0","87","98","74",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-07-02","0.00",,"0.0","0.0","88","99","77",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-07-03","0.31",,"0.0","0.0","80","92","69",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-07-04","0.00",,"0.0","0.0","81","94","69",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-07-05","0.00",,"0.0","0.0","83","94","70",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-07-06","0.00",,"0.0","0.0","83","93","75",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-07-07","0.00",,"0.0","0.0","82","96","71",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-07-08","0.00",,"0.0","0.0","84","98","72",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-07-09","0.78",,"0.0","0.0","81","90","66",
"USW00003928","WICHITA DWIGHT D. EISENHOWER NATIONAL AIRPORT, KS US","2020-07-10","1.02",,"0.0","0.0","81","88","70",
