,COOPID, YEAR, MONTH, DAY, precipitation
90,85663,1997,8,29,0.0
91,85663,1997,8,30,0.03
92,85663,1997,8,31,0.13
93,85663,1998,8,1,0.84
94,85663,1998,8,2,0.1
95,85663,1998,8,3,0.12
96,85663,1998,8,4,0.08
97,85663,1998,8,5,0.17
98,85663,1998,8,6,2.86
99,85663,1998,8,7,0.05
100,85663,1998,8,8,0.01
101,85663,1998,8,9,0.02
102,85663,1998,8,10,0.1
103,85663,1998,8,11,0.0
104,85663,1998,8,12,1.6
105,85663,1998,8,13,0.59
106,85663,1998,8,14,2.09
107,85663,1998,8,15,0.0
108,85663,1998,8,16,0.14
109,85663,1998,8,17,0.01
110,85663,1998,8,18,0.58
111,85663,1998,8,19,0.37
112,85663,1998,8,20,0.3
113,85663,1998,8,21,1.41
114,85663,1998,8,22,0.01
115,85663,1998,8,23,0.01
116,85663,1998,8,24,0.0
117,85663,1998,8,25,0.0
118,85663,1998,8,26,0.15
119,85663,1998,8,27,0.05
120,85663,1998,8,28,0.0
121,85663,1998,8,29,0.0
122,85663,1998,8,30,0.0
123,85663,1998,8,31,0.0
124,85663,1999,8,1,0.64
125,85663,1999,8,2,0.14
126,85663,1999,8,3,0.99
127,85663,1999,8,4,1.05
128,85663,1999,8,5,0.57
129,85663,1999,8,6,0.33
130,85663,1999,8,7,0.0
131,85663,1999,8,8,0.0
132,85663,1999,8,9,0.73
133,85663,1999,8,10,0.0
134,85663,1999,8,11,0.56
135,85663,1999,8,12,0.01
136,85663,1999,8,13,0.23
137,85663,1999,8,14,0.71
138,85663,1999,8,15,0.42
139,85663,1999,8,16,0.0
140,85663,1999,8,17,0.18
141,85663,1999,8,18,0.0
142,85663,1999,8,19,0.28
143,85663,1999,8,20,1.59
144,85663,1999,8,21,0.6
145,85663,1999,8,22,2.15
146,85663,1999,8,23,0.14
147,85663,1999,8,24,0.0
148,85663,1999,8,25,0.06
149,85663,1999,8,26,1.46
150,85663,1999,8,27,0.0
151,85663,1999,8,28,0.0
152,85663,1999,8,29,0.21
153,85663,1999,8,30,0.0
154,85663,1999,8,31,0.82
155,85663,2000,8,1,0.4
156,85663,2000,8,2,1.1
157,85663,2000,8,3,0.06
158,85663,2000,8,4,0.0
159,85663,2000,8,5,0.01
160,85663,2000,8,6,1.13
161,85663,2000,8,7,0.0
162,85663,2000,8,8,0.02
163,85663,2000,8,9,0.03
164,85663,2000,8,10,0.11
165,85663,2000,8,11,0.14
166,85663,2000,8,12,0.0
167,85663,2000,8,13,0.0
168,85663,2000,8,14,0.13
169,85663,2000,8,15,0.71
170,85663,2000,8,16,0.0
171,85663,2000,8,17,0.04
172,85663,2000,8,18,0.96
173,85663,2000,8,19,0.59
174,85663,2000,8,20,0.01
175,85663,2000,8,21,0.39
176,85663,2000,8,22,0.0
177,85663,2000,8,23,0.01
178,85663,2000,8,24,0.0
179,85663,2000,8,25,0.24
180,85663,2000,8,26,0.17
181,85663,2000,8,27,0.04
182,85663,2000,8,28,0.72
183,85663,2000,8,29,0.0
184,85663,2000,8,30,0.19
185,85663,2000,8,31,0.22
186,85663,2001,8,1,1.54
187,85663,2001,8,2,0.25
188,85663,2001,8,3,0.78
189,85663,2001,8,4,0.14
190,85663,2001,8,5,0.58
191,85663,2001,8,6,0.0
192,85663,2001,8,7,0.0
193,85663,2001,8,8,0.0
194,85663,2001,8,9,0.0
195,85663,2001,8,10,0.52
196,85663,2001,8,11,0.12
197,85663,2001,8,12,0.0
198,85663,2001,8,13,0.03
199,85663,2001,8,14,0.0
200,85663,2001,8,15,0.0
201,85663,2001,8,16,0.0
202,85663,2001,8,17,0.33
203,85663,2001,8,18,0.0
204,85663,2001,8,19,0.0
205,85663,2001,8,20,0.51
206,85663,2001,8,21,0.02
207,85663,2001,8,22,2.45
208,85663,2001,8,23,0.0
209,85663,2001,8,24,0.0
210,85663,2001,8,25,0.0
211,85663,2001,8,26,0.0
212,85663,2001,8,27,0.0
213,85663,2001,8,28,0.0
214,85663,2001,8,29,0.0
215,85663,2001,8,30,0.0
216,85663,2001,8,31,0.0
217,85663,2002,8,1,1.17
218,85663,2002,8,2,0.66
219,85663,2002,8,3,0.38
220,85663,2002,8,4,0.0
221,85663,2002,8,5,0.34
222,85663,2002,8,6,0.22
223,85663,2002,8,7,0.76
224,85663,2002,8,8,0.15
225,85663,2002,8,9,0.39
226,85663,2002,8,10,0.0
227,85663,2002,8,11,0.01
228,85663,2002,8,12,0.0
229,85663,2002,8,13,0.0
230,85663,2002,8,14,0.18
231,85663,2002,8,15,0.1
232,85663,2002,8,16,0.0
233,85663,2002,8,17,0.61
234,85663,2002,8,18,0.04
235,85663,2002,8,19,0.0
236,85663,2002,8,20,0.2
237,85663,2002,8,21,0.0
238,85663,2002,8,22,0.31
239,85663,2002,8,23,0.0
240,85663,2002,8,24,0.0
241,85663,2002,8,25,0.03
242,85663,2002,8,26,0.05
243,85663,2002,8,27,0.6
244,85663,2002,8,28,0.11
245,85663,2002,8,29,0.08
246,85663,2002,8,30,0.14
247,85663,2002,8,31,0.02
248,85663,2003,8,1,0.0
249,85663,2003,8,2,0.08
250,85663,2003,8,3,0.75
251,85663,2003,8,4,0.6
252,85663,2003,8,5,2.08
253,85663,2003,8,6,0.13
254,85663,2003,8,7,0.18
255,85663,2003,8,8,0.42
256,85663,2003,8,9,0.3
257,85663,2003,8,10,0.05
258,85663,2003,8,11,0.15
259,85663,2003,8,12,0.0
260,85663,2003,8,13,0.19
261,85663,2003,8,14,0.54
262,85663,2003,8,15,0.04
263,85663,2003,8,16,0.07
264,85663,2003,8,17,0.0
265,85663,2003,8,18,0.0
266,85663,2003,8,19,0.02
267,85663,2003,8,20,0.85
268,85663,2003,8,21,0.08
269,85663,2003,8,22,0.0
270,85663,2003,8,23,0.0
271,85663,2003,8,24,0.5
272,85663,2003,8,25,0.0
273,85663,2003,8,26,0.52
274,85663,2003,8,27,0.11
275,85663,2003,8,28,1.23
276,85663,2003,8,29,0.43
277,85663,2003,8,30,0.07
278,85663,2003,8,31,0.26
279,85663,2004,8,1,2.49
280,85663,2004,8,2,1.36
281,85663,2004,8,3,1.16
282,85663,2004,8,4,0.0
283,85663,2004,8,5,0.8
284,85663,2004,8,6,0.63
285,85663,2004,8,7,0.11
286,85663,2004,8,8,0.78
287,85663,2004,8,9,0.0
288,85663,2004,8,10,0.0
289,85663,2004,8,11,0.0
290,85663,2004,8,12,0.2
291,85663,2004,8,13,0.47
292,85663,2004,8,14,0.03
293,85663,2004,8,15,0.04
294,85663,2004,8,16,0.02
295,85663,2004,8,17,0.11
296,85663,2004,8,18,0.0
297,85663,2004,8,19,0.02
298,85663,2004,8,20,0.0
299,85663,2004,8,21,0.0
300,85663,2004,8,22,0.17
301,85663,2004,8,23,0.0
302,85663,2004,8,24,0.61
303,85663,2004,8,25,0.0
304,85663,2004,8,26,0.0
305,85663,2004,8,27,0.0
306,85663,2004,8,28,0.93
307,85663,2004,8,29,0.0
308,85663,2004,8,30,0.0
309,85663,2004,8,31,0.16
310,85663,2005,8,1,0.0
311,85663,2005,8,2,0.0
312,85663,2005,8,3,0.48
313,85663,2005,8,4,0.06
314,85663,2005,8,5,0.55
315,85663,2005,8,6,1.21
316,85663,2005,8,7,0.11
317,85663,2005,8,8,0.0
318,85663,2005,8,9,0.0
319,85663,2005,8,10,0.0
320,85663,2005,8,11,0.0
321,85663,2005,8,12,0.03
322,85663,2005,8,13,0.56
323,85663,2005,8,14,0.0
324,85663,2005,8,15,0.01
325,85663,2005,8,16,0.0
326,85663,2005,8,17,0.0
327,85663,2005,8,18,0.0
328,85663,2005,8,19,0.02
329,85663,2005,8,20,0.0
330,85663,2005,8,21,0.06
331,85663,2005,8,22,0.06
332,85663,2005,8,23,0.06
333,85663,2005,8,24,0.05
334,85663,2005,8,25,4.18
335,85663,2005,8,26,0.82
336,85663,2005,8,27,0.59
337,85663,2005,8,28,0.18
338,85663,2005,8,29,0.0
339,85663,2005,8,30,0.0
340,85663,2005,8,31,0.24
